prefix,mount_line,routers
/api/admin/auth/login,server/index.js:346,
/api/admin/auth,server/index.js:428,
/api/admin/auth,server/index.js:537,server/routes/admin-auth.js
/api/admin/push,server/index.js:538,server/routes/admin-push.js
/api/admin/visits,server/index.js:539,server/routes/admin-visits.js
/api/admin/intelligence-bar,server/index.js:540,server/routes/admin-intelligence-bar.js
/api/admin/agent-estimate,server/index.js:541,server/routes/admin-agent-estimate.js
/api/admin/tool-health,server/index.js:542,server/routes/tool-health.js
/api/admin/customers/intelligence,server/index.js:543,server/routes/admin-customer-intel.js
/api/admin/customers,server/index.js:547,server/routes/admin-customer-turf-profile.js
/api/admin/customers,server/index.js:548,server/routes/admin-customers.js
/api/admin/customer-duplicates,server/index.js:549,server/routes/admin-customer-duplicates.js
/api/admin/dashboard,server/index.js:550,server/routes/admin-dashboard.js
/api/admin/kpi-targets,server/index.js:551,server/routes/admin-kpi-targets.js
/api/admin/usage,server/index.js:552,server/routes/admin-usage.js
/api/admin/command-center,server/index.js:553,server/routes/admin-command-center.js
/api/admin/feature-flags,server/index.js:554,server/routes/admin-feature-flags.js
/api/admin/turf-height,server/index.js:555,server/routes/admin-turf-height.js
/api/admin/estimates,server/index.js:556,server/routes/admin-estimates.js
/api/admin/service-outlines,server/index.js:557,server/routes/admin-service-outlines.js
/api/admin/estimates,server/index.js:558,server/routes/admin-estimate-slots.js
/api/admin/pipeline,server/index.js:559,server/routes/admin-pipeline.js
/api/admin/lookup,server/index.js:560,server/routes/admin-property-lookup.js
/api/admin/reviews,server/index.js:579,server/routes/admin-reviews.js
/api/admin/settings,server/index.js:580,server/routes/admin-settings.js
/api/admin/backlink-agent,server/index.js:581,server/routes/admin-backlink-agent-v2.js
/api/admin/import,server/index.js:582,server/routes/admin-import-sheets.js
/api/admin/estimator,server/index.js:583,server/routes/property-lookup-v2.js
/api/admin/referrals,server/index.js:584,server/routes/admin-referrals-v2.js
/api/admin/dispatch,server/index.js:586,server/routes/admin-dispatch.js
/api/admin/auto-dispatch,server/index.js:587,server/routes/admin-auto-dispatch.js
/api/admin/dev,server/index.js:589,server/routes/admin-dev-tech-status.js
/api/admin/dev,server/index.js:590,server/routes/admin-dev-job-status.js
/api/admin/dev,server/index.js:591,server/routes/admin-dev-dispatch-alert.js
/api/admin/communications,server/index.js:593,server/routes/admin-communications.js
/api/admin/communications,server/index.js:594,server/routes/admin-communications-attach.js
/api/admin/email-templates,server/index.js:595,server/routes/admin-email-templates.js
/api/admin/notification-events,server/index.js:596,server/routes/admin-notification-events.js
/api/admin/newsletter,server/index.js:597,server/routes/admin-newsletter.js
/api/admin/credentials,server/index.js:639,server/routes/admin-credentials.js
/api/admin/seo-diagnosis,server/index.js:640,server/routes/admin-seo-diagnosis.js
/api/admin/inventory,server/index.js:661,server/routes/admin-inventory.js
/api/admin/price-match,server/index.js:662,server/routes/admin-price-match.js
/api/admin/price-change,server/index.js:663,server/routes/admin-price-change.js
/api/admin/compliance,server/index.js:664,server/routes/admin-compliance.js
/api/admin/workflows,server/index.js:665,server/routes/admin-workflows.js
/api/admin/ads,server/index.js:666,server/routes/admin-ads.js
/api/admin/seo/actions,server/index.js:667,server/routes/admin-seo-actions.js
/api/admin/seo/url-intelligence,server/index.js:668,server/routes/admin-seo-url-intelligence.js
/api/admin/seo,server/index.js:669,server/routes/admin-seo-v2.js
/api/admin/content-registry,server/index.js:670,server/routes/admin-content-registry.js
/api/admin/content,server/index.js:671,server/routes/admin-content-v2.js
/api/admin/knowledge,server/index.js:672,server/routes/admin-knowledge.js
/api/admin/csr,server/index.js:673,server/routes/admin-csr.js
/api/tech/knowledge,server/index.js:674,server/routes/tech-knowledge.js
/api/admin/protocols,server/index.js:687,server/routes/admin-protocols.js
/api/admin/revenue,server/index.js:688,server/routes/admin-revenue.js
/api/admin/schedule/find-time,server/index.js:689,server/routes/admin-schedule-find-time.js
/api/admin/schedule,server/index.js:690,server/routes/admin-schedule.js
/api/admin/data-hygiene,server/index.js:703,server/routes/admin-data-hygiene.js
/api/admin/agents,server/index.js:704,server/routes/admin-agents.js
/api/admin/agent-decisions,server/index.js:705,server/routes/admin-agent-decisions.js
/api/admin/drafts,server/index.js:706,server/routes/admin-drafts.js
/api/admin/gbp,server/index.js:707,server/routes/admin-gbp.js
/api/admin/automations,server/index.js:708,server/routes/admin-automations.js
/api/admin/social-media,server/index.js:709,server/routes/admin-social-media.js
/api/admin/call-recordings,server/index.js:710,server/routes/admin-call-recordings.js
/api/admin/triage,server/index.js:711,server/routes/admin-triage.js
/api/admin/contracts,server/index.js:713,server/routes/admin-contracts.js
/api/admin/document-templates,server/index.js:714,server/routes/admin-document-templates.js
/api/admin/invoices,server/index.js:715,server/routes/admin-invoices.js
/api/admin/billing-recovery,server/index.js:716,server/routes/admin-billing-recovery.js
/api/admin/payers,server/index.js:717,server/routes/admin-payers.js
/api/admin/job-forms,server/index.js:718,server/routes/admin-job-forms.js
/api/admin/job-costs,server/index.js:719,server/routes/admin-job-costs.js
/api/admin/job-expenses,server/index.js:720,server/routes/admin-job-expenses.js
/api/admin/projects,server/index.js:721,server/routes/admin-projects.js
/api/admin/tax,server/index.js:729,server/routes/admin-tax.js
/api/admin/pricing,server/index.js:730,server/routes/admin-pricing-strategy.js
/api/admin/lawn-assessment,server/index.js:731,server/routes/admin-lawn-assessment.js
/api/admin/photo-assessments,server/index.js:733,server/routes/admin-photo-assessments.js
/api/admin/careers,server/index.js:735,server/routes/admin-careers.js
/api/admin/knowledge-bridge,server/index.js:736,server/routes/admin-knowledge-bridge.js
/api/admin/assessment-analytics,server/index.js:737,server/routes/admin-assessment-analytics.js
/api/admin/treatment-plans,server/index.js:738,server/routes/admin-treatment-plans.js
/api/admin/equipment,server/index.js:739,server/routes/admin-equipment.js
/api/admin/equipment-systems,server/index.js:740,server/routes/admin-equipment-systems.js
/api/admin/analytics,server/index.js:741,server/routes/admin-analytics.js
/api/admin/token-health,server/index.js:742,server/routes/admin-token-health.js
/api/admin/integrations,server/index.js:743,server/routes/admin-integrations.js
/api/admin/kb,server/index.js:753,server/routes/admin-kb.js
/api/admin/notifications,server/index.js:754,server/routes/admin-notifications.js
/api/admin/payments,server/index.js:757,server/routes/admin-payments-reconcile.js
/api/admin/review-requests,server/index.js:759,server/routes/admin-review-requests.js
/api/admin/requests,server/index.js:760,server/routes/admin-requests.js
/api/admin/wiki,server/index.js:761,server/routes/admin-wiki.js
/api/admin/health,server/index.js:762,server/routes/admin-health.js
/api/admin/timetracking,server/index.js:763,server/routes/admin-timetracking.js
/api/admin/timesheets,server/index.js:764,server/routes/admin-timesheet-approval.js
/api/tech/timetracking,server/index.js:765,server/routes/tech-timetracking.js
/api/admin/leads,server/index.js:766,server/routes/admin-leads.js
/api/admin/equipment-maintenance,server/index.js:767,server/routes/admin-equipment-maintenance.js
/api/admin/ical-history,server/index.js:768,server/routes/admin-ical-history.js
/api/admin/mileage,server/index.js:769,server/routes/admin-mileage.js
/api/admin/compliance-v2,server/index.js:770,server/routes/admin-compliance-v2.js
/api/admin/services,server/index.js:771,server/routes/admin-services.js
/api/admin/discounts,server/index.js:772,server/routes/admin-discounts.js
/api/admin/banking,server/index.js:773,server/routes/admin-banking.js
/api/admin/dashboard-ops,server/index.js:774,server/routes/admin-dashboard-ops.js
/api/admin/sms-templates,server/index.js:775,server/routes/admin-sms-templates.js
/api/admin/email,server/index.js:776,server/routes/admin-email.js
/api/admin/pricing-config,server/index.js:777,server/routes/admin-pricing-config.js
/api/admin/pest-pressure,server/index.js:778,server/routes/admin-pest-pressure.js
/api/admin/pricing-proposals,server/index.js:779,server/routes/admin-pricing-proposals.js
/api/admin/pricing-reality-check,server/index.js:780,server/routes/admin-pricing-reality-check.js
/api/tech/field-lead,server/index.js:781,server/routes/tech-field-lead.js
/api/tech/lawn-diagnostic,server/index.js:782,server/routes/tech-lawn-diagnostic.js
/api/tech/social,server/index.js:783,server/routes/tech-social.js
/api/tech/notifications,server/index.js:787,server/routes/tech-notifications.js
/api/tech/services,server/index.js:788,server/routes/tech-track.js
/api/admin/geofence,server/index.js:789,server/routes/admin-geofence.js
/api/admin,server/index.js:790,server/routes/admin-billing-health.js
