source,line,static_link_pattern
client/src/App.jsx,157,/admin/dispatch?${…}
client/src/App.jsx,167,/admin/lawn-assessments?${…}
client/src/App.jsx,175,/admin/equipment?${…}
client/src/App.jsx,251,./components/admin/AdminTabRedirect
client/src/App.jsx,357,./pages/admin/ReviewsPage
client/src/App.jsx,358,./pages/admin/AdminDispatchPage
client/src/App.jsx,359,./pages/admin/InventoryPage
client/src/App.jsx,360,./pages/admin/CommunicationsPageV2
client/src/App.jsx,361,./pages/admin/CustomersPageV2
client/src/App.jsx,362,./pages/admin/ReferralsPageV2
client/src/App.jsx,363,./pages/admin/DashboardPageV2
client/src/App.jsx,364,./pages/admin/EstimatesPageV2
client/src/App.jsx,365,./pages/admin/AgentEstimatePage
client/src/App.jsx,366,./pages/admin/CommercialProposalPage
client/src/App.jsx,371,./pages/admin/AssessmentsHubPage
client/src/App.jsx,372,./pages/admin/RecruitingPage
client/src/App.jsx,375,./pages/admin/AdsPage
client/src/App.jsx,376,./pages/admin/SEOPage
client/src/App.jsx,377,./pages/admin/BlogPage
client/src/App.jsx,378,./pages/admin/AgentsHubPage
client/src/App.jsx,379,./pages/admin/KnowledgeHubPage
client/src/App.jsx,380,./pages/admin/SettingsPage
client/src/App.jsx,381,./pages/admin/PestPressureSettingsPage
client/src/App.jsx,384,./pages/admin/SocialMediaPage
client/src/App.jsx,385,./pages/admin/TaxPage
client/src/App.jsx,386,./pages/admin/ToolHealthPage
client/src/App.jsx,387,./pages/admin/PriceMatchPage
client/src/App.jsx,388,./pages/admin/DuplicateCustomersPage
client/src/App.jsx,389,./pages/admin/EquipmentPage
client/src/App.jsx,390,./pages/admin/TurfHeightReviewPage
client/src/App.jsx,391,./pages/admin/AdminInvoicesPage
client/src/App.jsx,392,./pages/admin/BillingRecoveryPage
client/src/App.jsx,393,./pages/admin/PayersPage
client/src/App.jsx,394,./pages/admin/ContractsPage
client/src/App.jsx,409,./pages/admin/TimeTrackingPage
client/src/App.jsx,410,./pages/admin/ServiceLibraryPage
client/src/App.jsx,411,./pages/admin/ProjectsPage
client/src/App.jsx,412,./pages/admin/NewsletterPage
client/src/App.jsx,413,./pages/admin/CompliancePage
client/src/App.jsx,414,./pages/admin/PricingHubPage
client/src/App.jsx,415,./pages/admin/_DesignSystemPage
client/src/App.jsx,416,./pages/admin/_DesignSystemFlagsPage
client/src/App.jsx,417,./pages/admin/EmailPage
client/src/App.jsx,418,./pages/admin/BankingPage
client/src/App.jsx,419,./pages/admin/MorePage
client/src/App.jsx,545,/admin/login
client/src/App.jsx,546,/admin/change-password
client/src/App.jsx,547,/admin/forgot-password
client/src/App.jsx,548,/admin/reset-password
client/src/App.jsx,554,/admin/pipeline?tab=new
client/src/App.jsx,559,/admin
client/src/App.jsx,568,/admin/pipeline
client/src/App.jsx,578,/admin/dashboard
client/src/App.jsx,581,/admin/ppc
client/src/App.jsx,585,/admin/blog?tab=autopilot
client/src/App.jsx,586,/admin/blog?tab=registry
client/src/App.jsx,587,/admin/agents?tab=hygiene
client/src/App.jsx,589,/admin/agents?tab=decisions
client/src/App.jsx,591,/admin/agents?tab=drafts
client/src/App.jsx,597,/admin/pricing-logic
client/src/App.jsx,609,/admin/service-library
client/src/App.jsx,624,/admin/equipment
client/src/App.jsx,630,/admin/knowledge
client/src/App.jsx,647,/admin/customers?view=health
client/src/App.jsx,649,/admin/pipeline
client/src/App.jsx,654,/admin/contracts?tab=templates
client/src/App.jsx,655,/admin/contracts?tab=requests
client/src/App.jsx,656,/admin/service-library?tab=discounts
client/src/App.jsx,658,/admin/compliance
client/src/App.jsx,660,/admin/communications
client/src/App.jsx,661,/admin/communications
client/src/App.jsx,665,/admin/pricing-logic?section=reality
client/src/App.jsx,667,/admin/agents
client/src/App.jsx,669,/admin/pricing-logic
client/src/components/AdminLayoutV2.jsx,38,./admin/GlobalCommandPalette
client/src/components/AdminLayoutV2.jsx,80,/admin/login
client/src/components/AdminLayoutV2.jsx,83,/admin/auth/me
client/src/components/AdminLayoutV2.jsx,93,/admin/forgot-password
client/src/components/AdminLayoutV2.jsx,108,/admin/login
client/src/components/AdminLayoutV2.jsx,125,/admin/schedule
client/src/components/AdminLayoutV2.jsx,157,/admin/login
