path,source_line,components,page_modules,redirect_parameters,disposition
/admin/login,client/src/App.jsx:545,Navigate; AdminLoginPage,client/src/pages/AdminLoginPage.jsx,to=/,KEEP compatibility entry
/admin/change-password,client/src/App.jsx:546,Navigate; AdminChangePasswordPage,client/src/pages/AdminChangePasswordPage.jsx,to=/,KEEP compatibility entry
/admin/forgot-password,client/src/App.jsx:547,Navigate; AdminForgotPasswordPage,client/src/pages/AdminForgotPasswordPage.jsx,to=/,KEEP compatibility entry
/admin/reset-password,client/src/App.jsx:548,Navigate; AdminResetPasswordPage,client/src/pages/AdminResetPasswordPage.jsx,to=/,KEEP compatibility entry
/admin,client/src/App.jsx:559,Navigate; PageErrorBoundary; AdminLayout,client/src/components/AdminLayoutV2.jsx,to=/,KEEP compatibility entry
/admin/dashboard,client/src/App.jsx:561,Suspense; RouteFallback; AdminDashboardPage,client/src/pages/admin/DashboardPageV2.jsx,,KEEP supported surface
/admin/customers,client/src/App.jsx:562,Suspense; RouteFallback; AdminCustomersPage,client/src/pages/admin/CustomersPageV2.jsx,,KEEP supported surface
/admin/customers/new,client/src/App.jsx:563,Suspense; RouteFallback; AdminCustomersPage,client/src/pages/admin/CustomersPageV2.jsx,,KEEP supported surface
/admin/customers/duplicates,client/src/App.jsx:564,Suspense; RouteFallback; AdminDuplicateCustomersPage,client/src/pages/admin/DuplicateCustomersPage.jsx,,KEEP supported surface
/admin/pipeline,client/src/App.jsx:565,Suspense; RouteFallback; AdminPipelinePage,client/src/pages/admin/EstimatesPageV2.jsx,,KEEP supported surface
/admin/estimates,client/src/App.jsx:568,AdminTabRedirect,client/src/components/admin/AdminTabRedirect.jsx,to=/admin/pipeline; tab=estimates,KEEP compatibility entry
/admin/agent-estimate,client/src/App.jsx:569,Suspense; div; AdminAgentEstimatePage,client/src/pages/admin/AgentEstimatePage.jsx,,KEEP supported surface
/admin/estimates/:estimateId/proposal,client/src/App.jsx:570,Suspense; RouteFallback; AdminCommercialProposalPage,client/src/pages/admin/CommercialProposalPage.jsx,,KEEP supported surface
/admin/dispatch,client/src/App.jsx:576,Suspense; RouteFallback; AdminDispatchPage,client/src/pages/admin/AdminDispatchPage.jsx,,KEEP supported surface
