canonical_service_key,db_id,admin_display_name,customer_display_name,website_quote_form_name,estimator_agent_terminology,invoice_line_item_name,status,residential_eligible,commercial_eligible,one_time_or_recurring,visit_frequency,actual_annual_visit_count,unit_of_pricing,required_estimator_inputs,optional_modifiers,labor_formula,material_formula,protocol_linkage,inventory_linkage,equipment_linkage,minimum_price,floor,cap,target_margin,margin_floor,discount_eligibility,waveguard_eligibility,tax_treatment,deposit_treatment,annual_prepay_treatment,manual_fallback_behavior,test_coverage,known_gaps,recommended_action,owner_decision_required
pest_general_quarterly,52efef9a-7b68-4e74-8d21-63457ff394ea,Pest Control (svcPest) cadence 4x,Pest Control,pest (frequency=quarterly) / catalog pest_general_quarterly,pest {frequency:quarterly},scheduled_services.service_type = 'Quarterly Pest Control Service',active,yes,no (commercial_pest path),recurring,quarterly,4,per application (footprint bracket),homeSqFt+stories (footprint); features (pool/cage/shrubs/complexity/nearWater/garage); propertyType,roachType (fires pest_initial_roach); pricingVersion v1/v2,report-only: 25 min on-site + 20 min drive x $35 (service-pricing.js pestVisitCostModel); price is bracket not cost-plus,report-only: $6.67/visit literal (talak 1.30 + taurus 4.87 + surfactant 0.50) at service-pricing.js:1425,none at price time (protocols.json pest; protocol-matcher by name),none (pest_service_costs pricing_config row is an orphan),none,$79/visit (pricing_config pest_base.floor; constants.js says $89),PEST.floor x freqMult (report-only post-discount),none,n/a (bracket),35% report-only,WaveGuard tier %; manual recurring discount,qualifier + tier %,residential exempt (0),retired (isDepositEnforced=false),$99 setup waived; no 5% (pest keeps waiver),n/a (always prices),golden master + pest hardening + audit golden cases,observed on-site median 44 min vs 25 modeled; floor $79 (DB) vs $89 (code/docs); lot size ignored; no bundle travel sharing,recalibrate labor minutes from actuals; sync constants.js/docs to DB floor; keep bracket model,Adam: confirm pest floor ($79 vs $89) and accept observed-labor margins
pest_general_bimonthly,2df153f3-27af-4652-8f62-1d40195663da,Pest Control cadence 6x,Pest Control,pest (frequency=bimonthly),pest {frequency:bimonthly},'Bi-Monthly Pest Control Service',active,yes,no,recurring,bimonthly,6,per application (footprint bracket x 0.88),same as quarterly,same,same (25 min),same,none,none,none,$79 x 0.88 = $69.52,same,none,n/a,35% report-only,tier %; manual,qualifier,exempt,retired,$99 waived,n/a,golden master (v2 curve),same as quarterly,same,same
pest_general_monthly,ca450a09-761d-453b-ab16-896ebbb686c5,Pest Control cadence 12x,Pest Control,pest (frequency=monthly),pest {frequency:monthly},'Monthly Pest Control Service',active,yes,no,recurring,monthly,12,per application (footprint bracket x 0.78),same,same,20 min on-site (report-only),same,none,none,none,$79 x 0.78 = $61.62,same,none,n/a,35% report-only,tier %; manual,qualifier,exempt,retired,$99 waived,n/a,golden master,observed monthly on-site median 36 min vs 20 modeled (n=6),same,same
pest_general_semiannual,b2998c1b-da7a-46d0-a24d-c2d0efd89eb9,(not selectable in admin builder),Semiannual Pest Control Service,catalog quote-selectable but engine has NO semiannual cadence,composer refuses semiannual (skip),'Semiannual Pest Control Service',active (catalog) / UNPRICED by engine,yes,no,recurring,semiannual,2,none,none,none,none,none,none,none,none,none,none,none,n/a,n/a,none,none,exempt,retired,n/a,engine silently prices frequency=semiannual as QUARTERLY with a warning (frequencyWasDefaulted),none,catalog sells a cadence the engine cannot price; a semiannual request reprices to quarterly (4 visits) silently,either add a semiannual multiplier/visits row to PEST or mark the catalog row non-selectable,Adam: is semiannual pest offered? at what per-application price?
one_time_pest_control,b1aa846d-8307-4a9e-b3a9-a86714d4610f,One-Time Pest Control Service (svcOnetimePest),One-Time Pest,oneTimePest (website diverts one-time to /api/leads),oneTimePest,'One-Time Pest Control Service',active,yes,no (commercial -> manual quote),one-time,n/a,1,flat = max($199; round(quarterly base x 2.2)) x urgency,homeSqFt+stories; features; propertyType,urgency; afterHours; recurringCustomer (15% perk; strict > base+$99 clamp),none priced; observed 36 min (n=3),none,none,none,none,$199,$199 + visit-1 clamp,none,n/a (multiple),n/a,15% recurring-customer perk; manual one-time discount,not a qualifier,exempt,retired,n/a,n/a,one-time treatments test + audit golden cases,stand-alone $246 vs paired $212 for the 2000 sf reference is the documented perk (not a defect),document the 2.2x anchor on the customer surface,none
cockroach_control,973ee069-1bc2-45d6-befb-bc8fb52bdeef,(catalog only; engine emits pest_initial_roach / standalone roach),Cockroach Treatment Service,n/a,pest {roachType} (auto-fires pest_initial_roach),'Cockroach Treatment' (2-treatment contract),active,yes,no,one-time,n/a,2 (catalog) vs 1 (engine display metadata),flat by footprint bracket (pest_initial_roach $119/$139/$169 regular; $169/$199/$249 german; standalone $202.50/$239/$289),footprint; roachType,standalone flag; initialRoachPriceOverride,report-only 15/25 extra min,report-only $10/$15 per visit,protocols.json cockroach (name match),none,none,$119,n/a,none,n/a,n/a,excluded from all % discounts,not a qualifier,exempt,retired,not waived by prepay,fee override (no reason/user/timestamp),pest margin guard + roach bracket tests,same customer string 'Cockroach Treatment Service' for two different contracts (catalog 2-visit vs engine 1-visit fee),give the catalog row an engine_key or rename one of the two,Adam: which treatment count does the $350 catalog row promise?
german_roach,c6997372-4436-4e17-9a04-dac9df7fcd86,German Roach Cleanout (roachType=GERMAN standalone),German Roach Cleanout Service,n/a,germanRoach {severity REQUIRED},'German Roach Cleanout Service — N Visit Program',active,yes,no (manual quote),one-time,n/a,2/3/4 visits by severity,flat by severity ($350/$450/$550),severity,none,not modeled,not modeled,protocols.json cockroach,none,none,$350,n/a,none,n/a,n/a,excluded,not a qualifier,exempt,retired,n/a,missing severity defaults to LIGHT ($350) with only a flag,audit golden cases,default-to-cheapest on missing severity; no labor/material model behind the tiers,require severity (fail closed) on every entry point,none
german_roach_initial,9d18e108-0e48-4790-8f40-35076081bf91,(legacy direct callers),German Roach Initial Service (3-Visit),n/a,n/a,'German Roach Initial Service (3-Visit)',active (legacy),yes,no,one-time,n/a,3,$100/visit x 3,none,none,none,none,none,none,none,$300,n/a,none,n/a,n/a,excluded,no,exempt,retired,n/a,n/a,v1 adapter baseline only,legacy path kept for direct engine callers,retire or document,none
pest_initial_german_knockdown,86ee2037-9e74-4440-a7e5-101d1c99e701,n/a,Initial German Roach Knockdown Service,n/a,n/a,n/a,archived,-,-,one-time,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,archived row still referenced nowhere,delete after confirming no visits reference it,none
pest_initial_palmetto_knockdown,d5ac8486-d980-4f8a-ab1b-f46d833e4030,n/a,Initial Native Roach Knockdown Service,n/a,n/a,n/a,archived,-,-,one-time,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,archived,same,none
pest_re_service,3a5e93f4-8321-48dd-82d0-6b63b2694d9b,(callback),Pest Control Re-Service,n/a,n/a,'Pest Control Re-Service' ($0),active (internal),yes,yes,one-time,n/a,as needed,$0 (never priced by ruling),none,none,observed 28 min median + drive (n=4),none,none,none,none,$0,n/a,n/a,n/a,n/a,n/a,n/a,exempt,n/a,n/a,n/a,none,callback cost (8 of 307 visits since 06-01 = 2.6%) is not in any pest reserve,add an expected-callback reserve line to the pest cost model (report-only),none
pest_rodent_quarterly,8b7cd20b-e39e-4fdc-b89d-9e58bef27dd4,n/a,Pest & Rodent Control,n/a,n/a,n/a,archived (combined),-,-,recurring,quarterly,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,still referenced by estimate-converter / waveguard-existing-services / trace-eligibility,retire references,none
pest_termite_bait_quarterly,9ba42341-4767-4817-8dc1-0148c5da8ee7,n/a,Quarterly Pest + Termite Bait Station Service,n/a,n/a,n/a,archived (combined),-,-,recurring,quarterly,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,referenced by estimate-converter.js:310 with GATE_SEPARATE_COMBO_VISITS=true in prod,retire references,none
lawn_care_recurring,55ff3da2-1076-439c-a2b1-f1dfd57d623a,Lawn Care (svcLawn) 6 apps,Lawn Care,lawn (tier=standard),lawn {track; tier:standard},'Bi-Monthly Lawn Care Service',active,yes,no (commercial_lawn),recurring,bimonthly,6,per application from monthly bracket cell (track x sqft),treatable lawn sqft (measuredTurfSf/lawnSqFt else lot-derived); grass track,bermudaSuppression (st_augustine only; GATE_BERMUDA_SUPPRESSION),report-only: 12 + 2.5/1000 sf min + 5 min DENSE drive x $35 (packages/lawn-cost-floor); lawn pricer also carries a dead $26.96/visit literal,report-only: LAWN_MATERIAL_BUDGETS (hand-derived from protocols.json) x sf/4500 / visits,protocols.json lawn + lawn_protocols operating layer (name match; no dollars),none,none (calibration only in field plan),none (program minimum 0),35% cost floor DISARMED,table max 20000 sf then extrapolated + custom-quote flag,n/a (bracket),35% report-only,tier %; manual (lawn floor protects),qualifier,residential exempt,retired,5% prepay only when no pest/mosquito setup fee in the mix,n/a,lawn golden master (60+) + ladder invariants + audit golden cases,recorded check-in→check-out span 44 min (9x; check-out often happens while driving to the next stop; so the span includes travel and is NOT comparable with the 23 modeled on-site minutes at 4500 sf — MON-004); list margin 30.7% < 35% floor at the reference size; zero lawnSqFt prices silently,capture true on-site timing (MON-004) before any labor recalibration; decide whether 35% is a floor or a report,Adam: lawn margin below floor at list — reprice or accept
lawn_care_6week,a40daf15-2c4d-413d-82d4-0890f6757ccf,Lawn Care 9 apps (default),Lawn Care,lawn (tier=enhanced),lawn {tier:enhanced},'Every 6 Weeks Lawn Care Service',active,yes,no,recurring,every_6_weeks,9,per application (9x column capped at floor(6x monthly x 1.44)),same,same,same,same,same,none,none,none,DISARMED,20000 sf,n/a,35% report-only,tier %; manual,qualifier,exempt,retired,5% conditional,n/a,golden master,observed 44 min median n=17; realized $66/hr incl. drive; 9x is the auto-selected default,same,same
lawn_care_monthly,86097bf3-cadb-42d0-b1c2-ee114d97a83a,Lawn Care 12 apps,Lawn Care,lawn (tier=premium),lawn {tier:premium},'Monthly Lawn Care Service',active,yes,no,recurring,monthly,12,per application (12x column capped at floor(6x monthly x 1.84) and <= 9x per-app),same,same,same,same,same,none,none,none,DISARMED,20000 sf,n/a,35% report-only,tier %; manual,qualifier,exempt,retired,5% conditional,n/a,golden master,observed 37 min median n=7; realized $62/hr,same,same
